,Participant_Code,Event_Type,Event,Event1,Correlations,Sections1
221,AEQ077,Speech,Speech MC2,Speech 3,0.016854358664324106,Speech
222,AEQ078,Speech,Speech MC2,Speech 3,0.01563564607594426,Speech
223,AEQ079,Speech,Speech MC2,Speech 3,-0.008824847739403277,Speech
224,AEQ080,Speech,Speech MC2,Speech 3,0.044133567095359365,Speech
225,AEQ081,Speech,Speech MC2,Speech 3,0.060273877029353065,Speech
226,AEQ082,Speech,Speech MC2,Speech 3,0.06953647798328182,Speech
227,AEQ084,Speech,Speech MC2,Speech 3,0.0010038046806151186,Speech
228,AEQ085,Speech,Speech MC2,Speech 3,-0.0013927205405995962,Speech
229,AEQ087,Speech,Speech MC2,Speech 3,0.09222833660359636,Speech
230,AEQ088,Speech,Speech MC2,Speech 3,0.06740344564142957,Speech
231,AEQ089,Speech,Speech MC2,Speech 3,0.04209650826037155,Speech
232,AER090,Speech,Speech MC2,Speech 3,0.016652409668978907,Speech
233,ADQ001,Speech,Speech MC2,Speech 3,0.08142878840887681,Speech
234,ADQ003,Music,Beethoven 1,Beeth. 1,-0.0011427126713938912,Beethoven
235,ADQ004,Music,Beethoven 1,Beeth. 1,0.0014236650261181072,Beethoven
236,ADQ005,Music,Beethoven 1,Beeth. 1,-0.0012543990542088178,Beethoven
237,ADQ006,Music,Beethoven 1,Beeth. 1,0.006070492302454918,Beethoven
238,ADQ007,Music,Beethoven 1,Beeth. 1,0.0011697023779981156,Beethoven
239,ADQ008,Music,Beethoven 1,Beeth. 1,0.0003137527191584577,Beethoven
240,ADQ009,Music,Beethoven 1,Beeth. 1,0.0031922011819058593,Beethoven
241,ADQ010,Music,Beethoven 1,Beeth. 1,-1.3251803778590128e-05,Beethoven
242,ADQ011,Music,Beethoven 1,Beeth. 1,0.004528076553206874,Beethoven
243,ADQ012,Music,Beethoven 1,Beeth. 1,-0.002997720047574273,Beethoven
244,ADQ013,Music,Beethoven 1,Beeth. 1,0.007359490178120686,Beethoven
245,ADQ014,Music,Beethoven 1,Beeth. 1,0.006398308747825774,Beethoven
246,ADQ015,Music,Beethoven 1,Beeth. 1,0.004082815228201636,Beethoven
247,ADQ016,Music,Beethoven 1,Beeth. 1,0.007330616391969559,Beethoven
248,ADQ018,Music,Beethoven 1,Beeth. 1,0.0039050941174026154,Beethoven
249,ADQ019,Music,Beethoven 1,Beeth. 1,0.0006593846303666595,Beethoven
250,ADQ020,Music,Beethoven 1,Beeth. 1,-0.004025747869821546,Beethoven
251,ADQ021,Music,Beethoven 1,Beeth. 1,0.015889573051938565,Beethoven
252,ADQ022,Music,Beethoven 1,Beeth. 1,0.0031120776415362954,Beethoven
253,ADQ023,Music,Beethoven 1,Beeth. 1,0.005453323771324212,Beethoven
254,ADQ024,Music,Beethoven 1,Beeth. 1,0.00218787460289553,Beethoven
255,ADQ025,Music,Beethoven 1,Beeth. 1,0.008390723604849746,Beethoven
256,ADQ026,Music,Beethoven 1,Beeth. 1,-0.002295045309755916,Beethoven
257,ADQ027,Music,Beethoven 1,Beeth. 1,0.012070347795230092,Beethoven
258,ADQ028,Music,Beethoven 1,Beeth. 1,0.010536114586944518,Beethoven
259,ADQ029,Music,Beethoven 1,Beeth. 1,0.004714324569709828,Beethoven
260,ADQ030,Music,Beethoven 1,Beeth. 1,0.007495066135449325,Beethoven
261,ADQ031,Music,Beethoven 1,Beeth. 1,0.0015642103992768086,Beethoven
262,ADQ032,Music,Beethoven 1,Beeth. 1,0.001791973813562521,Beethoven
263,ADQ033,Music,Beethoven 1,Beeth. 1,0.005424219126488106,Beethoven
264,ADQ034,Music,Beethoven 1,Beeth. 1,0.0010273624860148265,Beethoven
265,ADQ035,Music,Beethoven 1,Beeth. 1,0.010591536662701368,Beethoven
266,ADQ036,Music,Beethoven 1,Beeth. 1,0.008116895359144127,Beethoven
