,Participant_Code,Event_Type,Event1,Event2,Correlations_alt,Correlations_true,Sections1,Sections2
132,ADQ006,Speech,Speech 7,Speech 1,0.019841869071904394,0.05153014073048478,Speech,Speech
133,ADQ019,Speech,Speech 7,Speech 1,0.0046143447277992985,0.022617980851497584,Speech,Speech
134,ADQ026,Speech,Speech 7,Speech 1,0.023134382403375384,0.06619368872875687,Speech,Speech
135,ADQ046,Speech,Speech 7,Speech 1,0.025350250749985943,0.06935965309539459,Speech,Speech
136,ADQ049,Speech,Speech 7,Speech 1,0.04249613804111168,0.04566504206506583,Speech,Speech
137,ADQ057,Speech,Speech 7,Speech 1,-0.015303592001568916,-0.027658685429996603,Speech,Speech
138,ADR069,Speech,Speech 7,Speech 1,0.0406539761793163,0.11267509116623721,Speech,Speech
139,ADQ043,Speech,Speech 7,Speech 1,0.018072830353232528,0.0565839159936799,Speech,Speech
140,ADQ042,Speech,Speech 7,Speech 1,0.03010374669485428,0.030223018668582367,Speech,Speech
141,ADQ053,Speech,Speech 7,Speech 1,0.0044412599442588884,0.04357044777798622,Speech,Speech
142,ADR070,Speech,Speech 7,Speech 1,0.034496893634154,0.06294422301768421,Speech,Speech
143,AEQ089,Speech,Speech 7,Speech 1,0.006496719397096798,0.04398723897040586,Speech,Speech
144,ADQ064,Speech,Speech 7,Speech 1,0.012810449096655342,0.08650468321708865,Speech,Speech
145,ADR068,Speech,Speech 7,Speech 1,0.028854612280412303,0.034627677009737734,Speech,Speech
146,ADQ048,Speech,Speech 7,Speech 1,-0.02317649815352741,-0.011533059129763835,Speech,Speech
147,ADQ051,Speech,Speech 7,Speech 1,0.010263090316915106,0.06142872325504081,Speech,Speech
148,ADQ063,Speech,Speech 7,Speech 1,-0.04110936521802769,-0.05248948340483011,Speech,Speech
149,ADQ041,Speech,Speech 7,Speech 1,0.013348194068435557,0.04288868663514155,Speech,Speech
150,ADQ005,Speech,Speech 7,Speech 1,0.03568483908991428,-0.005033126774039851,Speech,Speech
151,ADQ027,Speech,Speech 7,Speech 1,0.012228453335530718,0.01052602121003312,Speech,Speech
152,ADQ004,Speech,Speech 7,Speech 1,0.010893588296284064,0.05892134972638759,Speech,Speech
153,ADQ038,Speech,Speech 7,Speech 1,-0.022776037608007452,0.044124186100179055,Speech,Speech
154,AEQ087,Speech,Speech 7,Speech 1,0.011546354754434184,0.03462143369056147,Speech,Speech
155,AEQ079,Speech,Speech 7,Speech 1,0.00046650912793903766,0.045915875262039364,Speech,Speech
156,ADQ029,Speech,Speech 7,Speech 1,0.02942380436009279,0.06394623990945292,Speech,Speech
157,ADQ025,Speech,Speech 7,Speech 1,0.031397141042500784,0.07114712518396836,Speech,Speech
158,ADQ044,Speech,Speech 7,Speech 1,0.051613681041077594,0.04282871535140505,Speech,Speech
159,ADQ035,Speech,Speech 7,Speech 1,0.07529152189831102,0.004485958423980091,Speech,Speech
160,ADQ036,Speech,Speech 7,Speech 1,-0.018114527938836604,0.07150766250296693,Speech,Speech
161,AEQ088,Speech,Speech 7,Speech 1,0.019089839382765865,0.018715970578462766,Speech,Speech
162,AEQ081,Speech,Speech 7,Speech 1,-0.0007285279532600538,0.025415037250835774,Speech,Speech
163,ADQ003,Speech,Speech 7,Speech 1,-0.021093992476186547,0.08401550602013066,Speech,Speech
164,ADQ028,Speech,Speech 7,Speech 1,0.01943407365067737,0.05592853864284612,Speech,Speech
165,ADQ033,Speech,Speech 7,Speech 1,0.020326839185412168,0.011640553293922704,Speech,Speech
166,ADQ001,Speech,Speech 7,Speech 1,0.008075663680497358,0.053640925915040084,Speech,Speech
167,ADQ054,Speech,Speech 7,Speech 1,0.006513598814297886,0.005318863967954478,Speech,Speech
168,ADQ011,Speech,Speech 7,Speech 1,0.021215360664164323,0.007766236020480529,Speech,Speech
169,ADQ061,Speech,Speech 7,Speech 1,-0.006903707318991901,0.029635932311339118,Speech,Speech
170,ADR067,Speech,Speech 7,Speech 1,-0.005703296518585804,0.04096388585748397,Speech,Speech
171,AEQ080,Speech,Speech 7,Speech 1,0.03679524759563958,0.06510461371121382,Speech,Speech
172,ADQ014,Speech,Speech 7,Speech 1,0.06153330619310721,0.03950851728880443,Speech,Speech
173,ADQ040,Speech,Speech 7,Speech 1,-0.004126307096947353,0.041091001522350054,Speech,Speech
174,ADQ062,Speech,Speech 7,Speech 1,-0.009757977857902304,0.05046329556985376,Speech,Speech
175,AEQ085,Speech,Speech 7,Speech 1,0.08728688912754187,0.048290863898938836,Speech,Speech
176,ADQ052,Speech,Speech 7,Speech 1,0.036582888298583124,0.029850659703820275,Speech,Speech
177,ADQ056,Speech,Speech 7,Speech 1,-0.0294026628335957,0.10189031275504815,Speech,Speech
178,ADQ012,Speech,Speech 7,Speech 1,0.010935906957295741,0.026596029875728653,Speech,Speech
179,ADQ022,Speech,Speech 7,Speech 1,0.018955149871350583,0.030677931139275114,Speech,Speech
180,ADQ037,Speech,Speech 7,Speech 1,0.00493265433848365,0.07182360622582569,Speech,Speech
181,ADQ013,Speech,Speech 7,Speech 1,-0.04524313818231437,-0.00036890687832043104,Speech,Speech
182,ADR071,Speech,Speech 7,Speech 1,0.06720334478719912,0.0643693152233608,Speech,Speech
183,ADQ055,Speech,Speech 7,Speech 1,0.030911741263066686,0.05172605838416759,Speech,Speech
184,ADQ009,Speech,Speech 7,Speech 1,-0.016744584328672058,0.042076915580068756,Speech,Speech
185,ADQ047,Speech,Speech 7,Speech 1,0.010997521899368229,0.02975778152772133,Speech,Speech
186,AEQ082,Speech,Speech 7,Speech 1,0.06109354138027898,0.04122249706574975,Speech,Speech
187,AER090,Speech,Speech 7,Speech 1,0.0069529508335676995,0.06452349522088911,Speech,Speech
188,ADQ031,Speech,Speech 7,Speech 1,0.043982994260178716,0.07352567077731344,Speech,Speech
189,ADQ015,Speech,Speech 7,Speech 1,-0.03726841445841438,0.01823086806103549,Speech,Speech
190,ADQ050,Speech,Speech 7,Speech 1,0.007826018843067339,0.03793940381634957,Speech,Speech
191,ADQ020,Speech,Speech 7,Speech 1,0.061621782126766764,0.04145787051423906,Speech,Speech
192,ADQ034,Speech,Speech 7,Speech 1,0.04095506549633029,0.06978209615771297,Speech,Speech
193,ADQ023,Speech,Speech 2,Speech 7,0.0005101484125763236,0.0004523903884304085,Speech,Speech
194,ADQ007,Speech,Speech 2,Speech 7,-0.0016363655942428612,-0.007252236842762803,Speech,Speech
195,ADQ030,Speech,Speech 2,Speech 7,0.019413285163618607,0.03109788915804561,Speech,Speech
196,ADQ006,Speech,Speech 2,Speech 7,-0.010634451586506798,0.0066094458817429706,Speech,Speech
197,ADQ019,Speech,Speech 2,Speech 7,0.009496587038613736,0.008934161175993759,Speech,Speech
198,ADQ026,Speech,Speech 2,Speech 7,0.035444172823259824,0.016687521977061213,Speech,Speech
